DEPTH,RHOB,GR,VP,Vs,NPHI
3440.875,2.1492,71.293,2.989703952,4.949836176,24.27
3441.0,2.2492,79.3577,2.974793136,4.93251744,26.400000000000002
3441.125,2.3382,79.5607,2.954206944,4.916960448,24.709999999999997
3441.25,2.361,72.883,2.932456416,4.907011776,22.66
3441.375,2.3232,65.0037,2.913638064,4.904006448,23.23
3441.5,2.2965,62.3343,2.900799888,4.9068228000000005,26.82
3441.625,2.3162,65.8921,2.895548184,4.9104499200000005,23.34
3441.75,2.2982,70.6096,2.893926648,4.9120806,25.259999999999998
3441.875,2.3072,70.0746,2.893560888,4.910611464,28.050000000000004
3442.0,2.3124,70.4352,2.8921710000000003,4.903524864,28.87
3442.125,2.2767,76.8675,2.88733992,4.88702604,26.43
3442.25,2.2947,70.6389,2.87543748,4.853665680000001,21.85
3442.375,2.2655,79.2236,2.85234888,4.796564448000001,23.69
3442.5,2.2543,75.3244,2.821301952,4.725201623999999,24.08
3442.625,2.2791,71.2809,2.785817136,4.6484286,24.349999999999998
3442.75,2.3494,72.1609,2.750128104,4.5751760159999995,23.86
3442.875,2.4605,71.2713,2.7187916160000003,4.513533263999999,19.61
3443.0,2.4884,71.2779,2.6986595760000003,4.473519120000001,18.790000000000003
3443.125,2.5374,67.7366,2.69101824,4.457133072,18.27
3443.25,2.4916,66.6078,2.6953464,4.462579848,18.93
3443.375,2.4202,64.4291,2.7102450240000002,4.48484244,20.75
3443.5,2.3973,58.8342,2.733254376,4.516386192,22.79
3443.625,2.3366,58.9261,2.761113096,4.547847648,22.63
3443.75,2.3175,61.852,2.7882067680000002,4.570287024000001,20.19
3443.875,2.3045,58.4973,2.811152112,4.586706599999999,19.72
3444.0,2.3814,60.2384,2.829619944,4.599608784,22.12
3444.125,2.478,65.0,2.844021744,4.61112108,26.27
3444.25,2.4344,60.7894,2.855101224,4.6229778,29.07
3444.375,2.4648,57.7601,2.862453,4.638007488,22.42
3444.5,2.3568,62.8458,2.8664458799999997,4.662321384,24.72
3444.625,2.3799,72.4983,2.868805032,4.698370079999999,22.830000000000002
3444.75,2.4195,80.2925,2.8712861039999997,4.74378528,21.95
3444.875,2.369,81.1,2.8754984400000003,4.793833439999999,25.419999999999998
3445.0,2.339,74.215,2.88273744,4.84321104,23.419999999999998
3445.125,2.343,84.2321,2.89214052,4.883782967999999,24.58
3445.25,2.3233,76.3043,2.9008517040000004,4.919176344,27.72
3445.375,2.2851,68.9519,2.9080968,4.948772424,27.52
3445.5,2.2289,65.9884,2.9141470800000002,4.972394424,26.179999999999996
3445.625,2.1772,62.3733,2.919807216,4.98971316,29.15
3445.75,2.3093,66.5651,2.9255344080000003,5.000067216,31.16
3445.875,2.3058,62.6077,2.930862312,5.005020216,30.380000000000003
3446.0,2.2667,59.3158,2.935095984,5.0064162,27.38
3446.125,2.2684,65.7425,2.937549624,5.004456336,24.959999999999997
3446.25,2.2958,77.9107,2.937744696,4.99897908,24.86
3446.375,2.205,72.995,2.93562024,4.98975888,26.279999999999998
3446.5,2.292,64.0042,2.931648696,4.976247096,24.38
3446.625,2.2944,59.1692,2.9276009519999997,4.961683752,21.54
3446.75,2.2808,58.0511,2.9245316160000003,4.947345960000001,22.27
3446.875,2.2849,59.2785,2.923324608,4.934111544,24.94
3447.0,2.3038,60.6432,2.924580384,4.922440752,25.14
3447.125,2.2653,58.5748,2.928606792,4.912586568,20.28
3447.25,2.2582,59.4342,2.9353123919999997,4.9052530800000005,20.73
3447.375,2.2878,65.0367,2.9437218240000003,4.9004402879999995,23.0
3447.5,2.2414,63.6804,2.9528505839999997,4.898392032,24.04
3447.625,2.1305,55.2278,2.96171112,4.8994679759999995,23.21
3447.75,2.1212,54.572,2.969449992,4.904085696,22.759999999999998
3447.875,2.1253,54.7345,2.975576472,4.912866984,22.95
3448.0,2.1018,52.9168,2.980630056,4.924479864,25.96
